순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1,亜,亞,2.5,二,아,"버금, 아시아",ア,,,つ(ぐ),ア,つ(ぐ)
2,哀,,3,口,애,"슬프다, 동정하다",アイ,あわ(れ)・あわ(れむ),,かな(しい)・かな(しむ),アイ,あわ(れ)・あわ(れむ)・かな(しい)・かな(しむ)
3,挨,,2,手,애,인사하다,アイ,,,お(す)・ひら(く),アイ,お(す)・ひら(く)
4,愛,,7,心,애,사랑,アイ,,,め(でる)・お(しむ)・まな・かな(しい)・いと(しい)・う(い),アイ,め(でる)・お(しむ)・まな・かな(しい)・いと(しい)・う(い)
5,曖,,2,日,애,애매하다,アイ,,,かげ(る)・くら(い)・おお(う),アイ,かげ(る)・くら(い)・おお(う)
6,悪,惡,8,心,"악, 오","나쁘다, 미워하다",アク・オ,わる(い),,あ(し)・にく(む)・いずく(んぞ),アク・オ,わる(い)・あ(し)・にく(む)・いずく(んぞ)
7,握,,4,手,악,"쥐다, 잡다",アク,にぎ(る),,,アク,にぎ(る)
8,圧,壓,6,土,압,누르다,アツ,,オウ,お(さえる)・お(す)・へ(す),アツ・オウ,お(さえる)・お(す)・へ(す)
9,扱,扱,4,手,급,"다루다, 취급하다",,あつか(う),キュウ・ソウ,こ(く)・しご(く),キュウ・ソウ,あつか(う)・こ(く)・しご(く)
10,宛,,2,宀,완,앞으로 보내다,,あ(てる),エン,あて・ずつ・あたか(も)・さなが(ら),エン,あ(てる)・あて・ずつ・あたか(も)・さなが(ら)
11,嵐,,2,山,람,바람,,あらし,ラン,,ラン,あらし
12,安,,8,宀,안,"편하다, 싸다",アン,やす(い),,やす(んじる)・いずく(んぞ),アン,やす(い)・やす(んじる)・いずく(んぞ)
13,案,,7,木,안,안건,アン,,,かんが(える)・つくえ,アン,かんが(える)・つくえ
14,暗,,8,日,암,어둡다,アン,くら(い),,やみ・そら(んじる),アン,くら(い)・やみ・そら(んじる)
15,以,,7,人,이,"이상, 이하, 이내, 이외 등",イ,,,もっ(て)・もち(いる),イ,もっ(て)・もち(いる)
16,衣,,7,衣,의,"옷, 입다, 도착하다",イ,ころも,エ,きぬ・き(る),イ・エ,ころも・きぬ・き(る)
17,位,,7,人,위,"지위, 정도",イ,くらい,,,イ,くらい
18,囲,圍,6,囗,위,둘러싸다,イ,かこ(む)・かこ(う),,,イ,かこ(む)・かこ(う)
19,医,醫,8,匸,의,의학,イ,,,い(やす)・くすし,イ,い(やす)・くすし
20,依,,4,人,의,의지하다,イ・エ,,,よ(る),イ・エ,よ(る)
21,委,,8,女,위,맡기다,イ,ゆだ(ねる),,まか(せる)・くわ(しい)・お(く)・す(てる),イ,ゆだ(ねる)・まか(せる)・くわ(しい)・お(く)・す(てる)
22,威,,4,女,위,"위엄, 협박하다",イ,,,おど(す),イ,おど(す)
23,為,爲,4,火,위,"하다, 위하다, 행하다",イ,,,な(す)・す(る)・ため・つく(る)・な(る),イ,な(す)・す(る)・ため・つく(る)・な(る)
24,畏,,2,田,외,두려워하다,イ,おそ(れる),,かしこ(い)・かしこ(まる),イ,おそ(れる)・かしこ(い)・かしこ(まる)
25,胃,,5,肉,위,위,イ,,,,イ,無し
26,尉,,2.5,寸,위,벼슬,イ,,,じょう,イ,じょう
27,異,,5,田,이,다르다,イ,こと,,あや(しい),イ,こと・あや(しい)
28,移,,6,禾,이,"이동하다, 옮기다",イ,うつ(る)・うつ(す),,,イ,うつ(る)・うつ(す)
29,萎,,2,艸,위,시들다,イ,な(える),,しお(れる)・しな(びる)・しぼ(む)・つか(れる),イ,な(える)・しお(れる)・しな(びる)・しぼ(む)・つか(れる)
30,偉,偉,4,人,위,"훌륭하다, 위대하다",イ,えら(い),,すぐ(れる),イ,えら(い)・すぐ(れる)
31,椅,,2,木,의,의자,イ,,,,イ,無し
32,彙,,2,彐,휘,무리,イ,,,あつ(める)・たぐい・はりねずみ,イ,あつ(める)・たぐい・はりねずみ
33,意,,8,心,의,뜻,イ,,,こころ・おも(う),イ,こころ・おも(う)
34,違,違,4,辵,위,"다르다, 위반하다",イ,ちが(う)・ちが(える),,たが(う)・たが(える)・さ(る)・よこしま・か(い),イ,ちが(う)・ちが(える)・たが(う)・たが(える)・さ(る)・よこしま・か(い)
35,維,,4,糸,유,벼리,イ,,,つな(ぐ)・これ,イ,つな(ぐ)・これ
36,慰,,3,心,위,"위로하다, 위안이 되다",イ,なぐさ(める)・なぐさ(む),,,イ,なぐさ(める)・なぐさ(む)
