순번,한자,급수,부수,음,훈,音,訓
1,亜,2.5,二,아,"버금, 아시아",ア,つ(ぐ)
2,哀,3,口,애,"슬프다, 동정하다",アイ,あわ(れ)・あわ(れむ)・かな(しい)・かな(しむ)
3,挨,2,手,애,인사하다,アイ,お(す)・ひら(く)
4,愛,7,心,애,사랑,アイ,め(でる)・お(しむ)・まな・かな(しい)・いと(しい)・う(い)
5,曖,2,日,애,애매하다,アイ,かげ(る)・くら(い)・おお(う)
6,悪,8,心,"악, 오","나쁘다, 미워하다",アク・オ,わる(い)・あ(し)・にく(む)・いずく(んぞ)
7,握,4,手,악,"쥐다, 잡다",アク,にぎ(る)
8,圧,6,土,압,누르다,アツ・オウ,お(さえる)・お(す)・へ(す)
9,扱,4,手,급,"다루다, 취급하다",キュウ・ソウ,あつか(う)・こ(く)・しご(く)
10,宛,2,宀,완,앞으로 보내다,エン,あ(てる)・あて・ずつ・あたか(も)・さなが(ら)
11,嵐,2,山,람,바람,ラン,あらし
12,安,8,宀,안,"편하다, 싸다",アン,やす(い)・やす(んじる)・いずく(んぞ)
13,案,7,木,안,안건,アン,かんが(える)・つくえ
14,暗,8,日,암,어둡다,アン,くら(い)・やみ・そら(んじる)
15,以,7,人,이,"이상, 이하, 이내, 이외 등",イ,もっ(て)・もち(いる)
16,衣,7,衣,의,"옷, 입다, 도착하다",イ・エ,ころも・きぬ・き(る)
17,位,7,人,위,"지위, 정도",イ,くらい
18,囲,6,囗,위,둘러싸다,イ,かこ(む)・かこ(う)
19,医,8,匸,의,의학,イ,い(やす)・くすし
20,依,4,人,의,의지하다,イ・エ,よ(る)
21,委,8,女,위,맡기다,イ,ゆだ(ねる)・まか(せる)・くわ(しい)・お(く)・す(てる)
22,威,4,女,위,"위엄, 협박하다",イ,おど(す)
23,為,4,火,위,"하다, 위하다, 행하다",イ,な(す)・す(る)・ため・つく(る)・な(る)
24,畏,2,田,외,두려워하다,イ,おそ(れる)・かしこ(い)・かしこ(まる)
25,胃,5,肉,위,위,イ,無し
26,尉,2.5,寸,위,벼슬,イ,じょう
27,異,5,田,이,다르다,イ,こと・あや(しい)
28,移,6,禾,이,"이동하다, 옮기다",イ,うつ(る)・うつ(す)
29,萎,2,艸,위,시들다,イ,な(える)・しお(れる)・しな(びる)・しぼ(む)・つか(れる)
30,偉,4,人,위,"훌륭하다, 위대하다",イ,えら(い)・すぐ(れる)
31,椅,2,木,의,의자,イ,無し
32,彙,2,彐,휘,무리,イ,あつ(める)・たぐい・はりねずみ
33,意,8,心,의,뜻,イ,こころ・おも(う)
34,違,4,辵,위,"다르다, 위반하다",イ,ちが(う)・ちが(える)・たが(う)・たが(える)・さ(る)・よこしま・か(い)
35,維,4,糸,유,벼리,イ,つな(ぐ)・これ
36,慰,3,心,위,"위로하다, 위안이 되다",イ,なぐさ(める)・なぐさ(む)
37,遺,5,辵,유,남기다,イ・ユイ,のこ(す)・のこ(る)・わす(れる)・す(てる)
38,緯,4,糸,위,"위도, 경위",イ,よこいと・ぬき
39,域,5,土,역,구역,イキ,さかい・ところ
40,育,8,肉,육,"자라다, 기르다",イク,そだ(つ)・そだ(てる)・はぐく(む)
41,一,10,一,일,"1, 하나",イチ・イツ,ひと・ひと(つ)・はじ(め)
42,壱,4,士,일,1,イチ・イツ,ひと(つ)
43,逸,2.5,辵,일,"편안하다, 빗나가다, 놓치다",イツ・イチ,はし(る)・うしな(う)・そ(れる)・そ(らす)・はぐ(れる)・すぐ(れる)・はや(る)
44,茨,7,艸,자,가시나무,シ,いばら・くさぶき
45,芋,4,艸,우,토란,ウ,いも
46,引,9,弓,인,"끌다, 내키지 않다",イン,ひ(く)・ひ(ける)
47,印,7,卩,인,"도장, 표시",イン,しるし・しる(す)
48,因,6,囗,인,원인,イン,よ(る)・ちな(む)・ちなみ・よすが
