순번,한자,급수,부수,음,훈,音,訓,예시 단어
1,亜,2.5,二,아,"버금, 아시아",ア,つ(ぐ),"東亜(とうあ), 亜種(あしゅ), 亜細亜(あじあ), 亜鉛(あえん)"
2,哀,3,口,애,"슬프다, 동정하다",アイ,あわ(れ)・あわ(れむ)・かな(しい)・かな(しむ),"可哀想(かわいそう), 可哀相(かわいそう), 可哀そう(かわいそう), 哀れ(あわれ), 哀愁(あいしゅう)"
3,挨,2,手,애,인사하다,アイ,お(す)・ひら(く),"挨拶(あいさつ), ご挨拶(ごあいさつ)"
4,愛,7,心,애,사랑,アイ,め(でる)・お(しむ)・まな・かな(しい)・いと(しい)・う(い),"恋愛(れんあい), 可愛い(かわいい), 愛知県(あいちけん), 愛情(あいじょう), 愛する(あいする)"
5,曖,2,日,애,애매하다,アイ,かげ(る)・くら(い)・おお(う),曖昧(あいまい)
6,悪,8,心,"악, 오","나쁘다, 미워하다",アク・オ,わる(い)・あ(し)・にく(む)・いずく(んぞ),"悪い(にくい), 悪化(あっか), 最悪(さいあく), 悪魔(あくま), 悪口(あっこう)"
7,握,4,手,악,"쥐다, 잡다",アク,にぎ(る),"把握(はあく), 握手(あくしゅ), 握る(にぎる), 握り(にぎり), 掌握(しょうあく)"
8,圧,6,土,압,누르다,アツ・オウ,お(さえる)・お(す)・へ(す),"圧倒的(あっとうてき), 圧力(あつりょく), 圧倒(あっとう), 圧勝(あっしょう), 重圧(じゅうあつ)"
9,扱,4,手,급,"다루다, 취급하다",キュウ・ソウ,あつか(う)・こ(く)・しご(く),"扱い(あつかい), 扱う(あつかう), 取り扱い(とりあつかい), 取り扱(とりあつかい), 取扱(とりあつかい)"
10,宛,2,宀,완,앞으로 보내다,エン,あ(てる)・あて・ずつ・あたか(も)・さなが(ら),"宛て(あて), 宛名(あてな)"
11,嵐,2,山,람,바람,ラン,あらし,
